herd,year,season,sex,mu,tau
32,20,1,1,0.1490104772991851,476.5666666666668
32,21,1,1,0.11704768125408228,867.4823633156967
32,22,1,1,0.04263114071606994,2074.635542168674
32,23,1,1,0.0924187725631769,790.1567460317459
32,24,1,1,0.14502087060226596,1072.378129790496
32,25,1,1,0.12702860478692354,775.4341027550261
32,26,1,1,0.12636469221835078,1047.839135654261
32,27,1,1,0.11368861024033436,1094.7815958066392
32,28,1,1,0.11930758988015978,914.6666666666664
32,29,1,1,0.12392807745504844,821.5970695970695
32,30,1,1,0.1090627420604183,767.3254281949933
32,31,1,1,0.16447467876039304,762.2926093514329
34,9,1,1,0.2058823529411765,501.5449735449734
34,11,1,1,0.25,426.66666666666663
34,20,1,1,0.10909090909090909,1255.2721088435378
34,28,1,1,0.2222222222222222,381.8571428571429
34,31,1,1,0.21818181818181817,392.7810077519381
34,33,1,1,0.14285714285714285,261.3333333333333
34,34,1,1,0.05405405405405406,762.7285714285714
34,36,1,1,0.15625,280.65185185185186
35,3,1,1,0.2742857142857143,262.16666666666663
35,12,1,1,0.3047619047619048,18
36,20,2,1,0.1509433962264151,475.9694444444445
36,21,2,1,0.32608695652173914,277.58279569892477
36,22,2,1,0.29411764705882354,317.90000000000003
36,23,2,1,0.35714285714285715,331.02222222222224
36,24,2,1,0.1935483870967742,474.09333333333336
36,25,2,1,0.5538461538461539,408.7404214559387
36,26,2,1,0.1477272727272727,802.1989743589744
36,27,2,1,0.16666666666666666,604.8000000000001
36,28,2,1,0.2903225806451613,388.28282828282835
36,29,2,1,0.13636363636363635,424.5614035087719
36,30,2,1,0.38461538461538464,228.15
36,31,2,1,0.28888888888888886,282.3317307692308
36,32,2,1,0.1388888888888889,342.8129032258064
36,33,2,1,0.26666666666666666,194.31818181818176
36,34,2,1,0.3125,195.49090909090904
36,35,2,1,0.38235294117647056,199.01831501831504
36,36,2,1,0.1935483870967742,237.04666666666668
37,2,1,1,0.08228571428571428,908.0819291696096
37,3,1,1,0.09309090909090909,1347.329472329472
37,4,1,1,0.08145454545454545,1391.4656771799628
37,6,1,1,0.1205194805194805,669.4898164952612
37,9,1,1,0.1147012987012987,487.57523790309006
37,13,1,1,0.10389610389610388,585.1428571428571
37,14,1,1,0.07480519480519479,818.0708180708183
37,15,1,1,0.07480519480519479,952.3809523809526
37,16,1,1,0.06316883116883117,1310.0934153565738
37,17,1,1,0.0615064935064935,1576.0901290058955
37,18,1,1,0.17537662337662335,882.9942515272196
37,19,1,1,0.1895064935064935,522.6797563857831
37,23,1,1,0.13132467532467532,804.2935746715176
37,24,1,1,0.0856103896103896,1266.3571127057828
37,25,1,1,0.0615064935064935,992.3530441888976
37,28,1,1,0.08905380333951761,648.1066666666667
37,32,1,1,0.10004810004810004,1142.7886639676117
37,33,1,1,0.05760576057605761,1674.328267477204
37,34,1,1,0.2675026123301985,526.8976997578694
37,35,1,1,0.14217361585782637,627.6727716727715
38,8,1,1,0.12418300653594772,1581.4406912804398
38,9,1,1,0.20670391061452517,1317.2546631138184
38,10,1,1,0.19138755980861244,1608.9599112426038
38,11,1,1,0.19704433497536947,1535.856901840491
38,12,1,1,0.12682926829268293,2085.899226471852
38,13,1,1,0.07894736842105263,2819.238095238096
38,14,1,1,0.12195121951219512,1718.3555555555556
38,15,1,1,0.1796875,1024.4240165631468
38,16,1,1,0.14728682170542637,1178.4057416267945
38,17,1,1,0.2125984251968504,919.9503703703704
38,29,1,1,0.1320754716981132,1570.248447204969
38,31,1,1,0.08609271523178808,2084.372352285396
38,34,1,1,0.1875,1247.179487179487
38,36,1,1,0.15428571428571428,1548.1106106106106
39,11,1,1,0.26666666666666666,1068.75
39,15,1,1,0.20481927710843373,613.9928698752227
39,22,1,1,0.2331288343558282,1124.2882105263157
39,24,1,1,0.19548872180451127,1010.9816678648456
39,26,1,1,0.24193548387096772,419.8411347517731
39,27,1,1,0.1292517006802721,1474.956414473684
39,29,1,1,0.1827956989247312,736.3699690402477
39,31,1,1,0.23404255319148937,323.54040404040416
39,33,1,1,0.2947368421052632,591.7244136460555
39,34,1,1,0.2777777777777778,458.58461538461535
39,35,1,1,0.25555555555555554,593.9649578195978
39,36,1,1,0.21568627450980396,733.009090909091
40,14,1,1,0.19553072625698323,1360.4710317460317
40,16,1,1,0.08791208791208792,1311.727659574468
40,17,1,1,0.15510204081632656,929.9739671760044
40,18,1,1,0.2992207792207792,663.1381381381382
40,20,1,1,0.24761904761904763,926.6637362637364
40,23,1,1,0.1911050847457627,2333.7732441985554
40,24,1,1,0.16417917217917216,2359.567725824506
40,25,1,1,0.11277533039647578,2358.2008255563533
40,26,1,1,0.1315577889447236,1877.491019214703
