herd,year,count,Sightability,sd,MinUsed,Est_CL,Est_CL.min,Est_CL.max,herd_num,trt
Hart North,2006,191,NA,NA,0,236.2776411507412,216.6213383293275,259.85718080056745,16,NA
Hart South,2020,289,1,0.03850994105342949,0,289,278.2833255374023,300.5751305599922,17,NA
Hart South,2019,235,0.9117647058823528,0.04864330767996384,0,257.741935483871,244.6876709497092,272.26760973535266,17,NA
Hart South,2016,203,NA,NA,0,251.12230970471447,230.23105592069888,276.1832864006031,17,NA
Hart South,2012,348,NA,NA,0,430.4953880652248,394.6818101497695,473.45706240103385,17,NA
Hart South,2010,298,NA,NA,0,368.64260242366953,337.9746535190555,405.4316224008853,17,NA
Hart South,2006,387,NA,NA,0,478.7405608656379,438.9133923217264,526.5169056011497,17,NA
Hart South,2005,368,NA,NA,0,455.2365023218469,417.3646728020551,500.6672384010933,17,NA
Itcha-Ilgachuz,2019,185,0.48,0.09991996797437436,0,385.4166666666667,319.00953617133393,486.7395927485267,18,NA
Itcha-Ilgachuz,2018,473,0.7368421052631579,0.0714337781619259,0,641.9285714285714,585.1962302718398,710.8417203922969,18,NA
Itcha-Ilgachuz,2017,451,NA,NA,0,557.9121264868287,511.4985528090404,613.5894688013399,18,NA
Itcha-Ilgachuz,2014,685,0.4782608695652174,0.10415861863104658,0,1432.2727272727273,1176.1282269613348,1831.05019627518,18,NA
Itcha-Ilgachuz,2012,1003,0.59375,0.08682074519880027,0,1689.2631578947369,1473.7630247491986,1978.5798323936583,18,NA
Itcha-Ilgachuz,2010,1367,NA,NA,0,1691.0551594401215,1550.373662283721,1859.815529604061,18,NA
Itcha-Ilgachuz,2009,2093,NA,NA,0,2589.1576069555044,2373.7615765616883,2847.5449184062177,18,NA
Itcha-Ilgachuz,2007,1784,NA,NA,0,2206.9073916906927,2023.311348583876,2427.1476992053,18,NA
Itcha-Ilgachuz,2003,2861,0.6363636363636364,0.14504073367590284,0,4495.857142857143,3661.3565391952343,5823.054419708875,18,NA
Itcha-Ilgachuz,2002,2862,0.8571428571428571,0.09352195295828246,0,3339,3010.5248133624686,3747.9330179628328,18,NA
Itcha-Ilgachuz,2001,2051,0.7894736842105263,0.09352877017248828,0,2597.9333333333334,2322.756850583283,2947.0723309113787,18,NA
Itcha-Ilgachuz,2000,2167,0.7142857142857143,0.0985807941917649,0,3033.8,2665.874380848645,3519.54309487951,18,NA
Itcha-Ilgachuz,1999,1754,0.7727272727272727,0.08934606739851096,0,2269.8823529411766,2034.6296751783052,2566.6494576130226,18,NA
Itcha-Ilgachuz,1998,2121,0.7894736842105263,0.09352877017248828,0,2686.6,2402.0318284188897,3047.655004321324,18,NA
Itcha-Ilgachuz,1997,1689,0.8947368421052632,0.07040590042736196,0,1887.7058823529408,1750.0002078116502,2048.934371627602,18,NA
Itcha-Ilgachuz,1996,1327,0.6190476190476191,0.10597116957413082,0,2143.6153846153848,1830.2973948062888,2586.359208967296,18,NA
Itcha-Ilgachuz,1995,1321,NA,NA,0,1634.1505966498908,1498.2030781834642,1797.2321248039243,18,NA
Itcha-Ilgachuz,1994,1136,NA,NA,0,1405.295289776136,1288.3865986498222,1545.5379968033749,18,NA
Itcha-Ilgachuz,1992,1194,NA,NA,0,1477.0445211203405,1354.1669003414506,1624.447507203547,18,NA
Itcha-Ilgachuz,1991,1408,NA,NA,0,1741.774443666197,1596.8735307209065,1915.5963904041828,18,NA
Itcha-Ilgachuz,1990,1215,NA,NA,0,1503.0226910897934,1377.9839061263503,1653.0181920036096,18,NA
Itcha-Ilgachuz,1989,1162,NA,NA,0,1437.4587383097448,1317.8743200977935,1580.911225603452,18,NA
Itcha-Ilgachuz,1987,933,0.6153846153846154,0.1349320029703122,0,1516.125,1243.4750572972866,1941.9188820966524,18,NA
Itcha-Ilgachuz,1986,929,0.6428571428571429,0.12806020814297073,0,1445.111111111111,1205.0578428346505,1804.5950497273327,18,NA
Itcha-Ilgachuz,1985,985,0.8461538461538461,0.10006825162892168,0,1164.090909090909,1040.9818184420956,1320.2238553167697,18,NA
Kennedy Siding,2012,41,1,0.12173404845627092,0,41,36.550553187205246,46.68289819038783,19,NA
Kennedy Siding,2011,44,0.99,0.07335189537830897,1,44.44444444444444,41.37858802080388,48.00097199585571,19,NA
Kennedy Siding,2002,99,NA,NA,0,122.46851557027946,112.28017012881374,134.69037120029412,19,NA
Klinse-Za,2013,36,0.99,0.07335189537830897,1,36.36363636363637,33.85520838065772,39.27352254206376,20,NA
Klinse-Za,2012,25,1,0.26875723743723984,0,25,19.70432109652233,34.18837256232581,20,NA
Klinse-Za,1996,220,NA,NA,0,272.15225682284324,249.51148917514163,299.3119360006536,20,NA
Maligne,2020,0,NA,NA,0,0,0,0,21,NA
Maligne,2019,0,NA,NA,0,0,0,0,21,NA
Maligne,2018,0,NA,NA,0,0,0,0,21,NA
Maligne,2017,3,0.99,0.07335189537830897,1,3.0303030303030303,2.82126736505481,3.27279354517198,21,NA
Maligne,2016,3,1,0,0,3,3,3,21,NA
Maligne,2015,3,1,0,0,3,3,3,21,NA
Maligne,2014,2,1,0,0,2,2,2,21,NA
Maligne,2013,5,1,0.35560857337451424,0,5,3.6883803320552246,7.759259036365102,21,NA
Maligne,2012,6,1,0.352261391708041,0,6,4.437011983623522,9.26299578748529,21,NA
Maligne,2011,6,0.99,0.07335189537830897,1,6.0606060606060606,5.64253473010962,6.54558709034396,21,NA
Maligne,2009,4,1,0,0,4,4,4,21,NA
Maligne,2008,4,0.5,0.3535533905932738,0,8,4.68629150101524,27.313708498984766,21,NA
Maligne,2007,5,1,0.3480188459223394,0,5,3.709146956754086,7.6689333253403005,21,NA
Maligne,2006,7,0.5,0.3535533905932738,0,14,8.20101012677667,47.79898987322334,21,NA
Maligne,2005,8,1,0.3531550204491938,0,8,5.912109018628418,12.3677237250191,21,NA
Maligne,2004,7,0.3333333333333333,0.2721655269759087,0,21,11.560715401553262,114.43928459844678,21,NA
Maligne,2003,19,0.5714285714285714,0.1870439059165649,0,33.25,25.050348651417465,49.42965134858254,21,NA
Maligne,2001,12,NA,NA,0,14.84466855397327,13.609717591371362,16.32610560003565,21,NA
Maligne,2000,41,NA,NA,0,50.71928422607534,46.49986843718549,55.7808608001218,21,NA
Maligne,1998,68,NA,NA,0,84.1197884725152,77.12173301777105,92.51459840020202,21,NA
Maligne,1996,40,NA,NA,0,49.48222851324423,45.36572530457121,54.42035200011883,21,NA
Maligne,1993,41,NA,NA,0,50.71928422607534,46.49986843718549,55.7808608001218,21,NA
Maligne,1988,40,0.99,0.07335189537830897,1,40.4040404040404,37.6168982007308,43.63724726895973,21,NA
Monashee,2016,1,NA,NA,0,1.2370557128311055,1.13414313261428,1.3605088000029708,22,NA
Monashee,2011,3,NA,NA,0,3.711167138493317,3.4024293978428406,4.081526400008912,22,NA
Monashee,2008,5,NA,NA,0,6.185278564155529,5.670715663071401,6.802544000014854,22,NA
Monashee,2006,7,1,0,0,7,7,7,22,NA
Monashee,2004,7,1,0.3551071684732653,0,7,5.165643103996392,10.854516685242157,22,NA
Monashee,2002,4,1,0,0,4,4,4,22,NA
Monashee,1994,10,NA,NA,0,12.370557128311058,11.341431326142802,13.605088000029708,22,NA
Nakusp,2019,25,0.99,0.07335189537830897,1,25.252525252525253,23.510561375456756,27.273279543099832,23,NA
Nakusp,2018,31,1,0.11539851306155144,0,31,27.792757150904787,35.04402881718987,23,NA
Nakusp,2017,29,NA,NA,0,35.87461567210207,32.89015084581413,39.45475520008616,23,NA
Nakusp,2016,35,NA,NA,0,43.2969499490887,39.69500964149981,47.61780800010398,23,NA
Nakusp,2015,43,NA,NA,0,53.193395651737546,48.76815470241405,58.501878400127744,23,NA
Nakusp,2014,50,NA,NA,0,61.852785641555286,56.70715663071401,68.02544000014854,23,NA
Nakusp,2012,85,NA,NA,0,105.149735590644,96.40216627221382,115.64324800025253,23,NA
Nakusp,2010,77,NA,NA,0,95.25328988799514,87.32902121129958,104.75917760022875,23,NA
Nakusp,2008,85,NA,NA,0,105.149735590644,96.40216627221382,115.64324800025253,23,NA
Nakusp,2007,59,NA,NA,0,72.98628705703524,66.91444482424254,80.27001920017528,23,NA
Nakusp,2006,74,NA,NA,0,91.54212274950184,83.92659181345674,100.67765120021984,23,NA
Nakusp,2005,94,0.99,0.07335189537830897,1,94.94949494949496,88.39971077171738,102.54753108205536,23,NA
Nakusp,2004,70,NA,NA,0,86.5938998981774,79.39001928299962,95.23561600020795,23,NA
Nakusp,2002,76,0.6666666666666666,0.15713484026367724,0,114,92.25523303931772,149.15653166656466,23,NA
Nakusp,1999,151,0.8235294117647058,0.09245944094039717,0,183.3571428571429,164.8491677099192,206.54657697093188,23,NA
Nakusp,1997,198,0.9565217391304348,0.04252257799320223,0,207,198.18940622180276,216.63039575839528,23,NA
Nakusp,1996,172,0.9230769230769232,0.07390530175619404,0,186.3333333333333,172.52062846836685,202.5503392735686,23,NA
Nakusp,1995,43,NA,NA,0,53.193395651737546,48.76815470241405,58.501878400127744,23,NA
Nakusp,1994,148,NA,NA,0,183.08424549900369,167.85318362691348,201.35530240043968,23,NA
Narraway BC,2015,30,0.99,0.07335189537830897,1,30.303030303030305,28.2126736505481,32.7279354517198,25,NA
Narraway BC,2013,48,0.99,0.07335189537830897,1,48.48484848484848,45.14027784087696,52.36469672275168,25,NA
Narraway BC,2011,56,0.99,0.07335189537830897,1,56.56565656565657,52.66365748102312,61.09214617654362,25,NA
Narraway BC,2008,80,0.99,0.07335189537830897,1,80.8080808080808,75.2337964014616,87.27449453791947,25,NA
Narrow Lake,2018,15,1,0.3501393973799528,0,15,11.10996392602766,23.08187315791172,26,NA
Narrow Lake,2017,20,NA,NA,0,24.741114256622115,22.682862652285603,27.210176000059416,26,NA
Narrow Lake,2016,31,NA,NA,0,38.34872709776428,35.15843711104269,42.1757728000921,26,NA
Narrow Lake,2014,39,NA,NA,0,48.24517280041312,44.23158217195693,53.05984320011586,26,NA
Narrow Lake,2012,36,NA,NA,0,44.53400566191981,40.829152774114085,48.97831680010695,26,NA
Narrow Lake,2010,15,0.99,0.07335189537830897,1,15.151515151515152,14.10633682527405,16.3639677258599,26,NA
Narrow Lake,2009,21,NA,NA,0,25.97816996945322,23.817005784899884,28.570684800062388,26,NA
Narrow Lake,2008,40,NA,NA,0,49.48222851324423,45.36572530457121,54.42035200011883,26,NA
Narrow Lake,2007,48,NA,NA,0,59.37867421589308,54.43887036548545,65.3044224001426,26,NA
Narrow Lake,2006,33,NA,NA,0,40.82283852342649,37.42672337627125,44.896790400098034,26,NA
Narrow Lake,2005,34,0.99,0.07335189537830897,1,34.343434343434346,31.97436347062118,37.091660178615776,26,NA
Narrow Lake,2004,23,NA,NA,0,28.45228139511543,26.085292050128444,31.291702400068328,26,NA
Narrow Lake,2002,61,NA,NA,0,75.46039848269746,69.18273108947109,82.99103680018122,26,NA
Narrow Lake,1999,67,NA,NA,0,82.88273275968409,75.98758988515677,91.15408960019904,26,NA
North Cariboo,2020,97,0.6666666666666666,0.13608276348795434,0,145.5,120.83471673261285,182.8174571804307,27,NA
North Cariboo,2018,137,0.7142857142857143,0.1207363221040738,0,191.8,164.06752640004393,230.81482654113253,27,NA
North Cariboo,2011,163,NA,NA,0,201.64008119147024,184.8653306161277,221.76293440048423,27,NA
North Cariboo,2006,209,NA,NA,0,258.5446439817011,237.03591471638453,284.3463392006209,27,NA
North Cariboo,2005,215,NA,NA,0,265.96697825868773,243.84077351207023,292.50939200063874,27,NA
North Cariboo,2002,236,NA,NA,0,291.94514822814097,267.65777929697015,321.08007680070114,27,NA
North Cariboo,1999,258,NA,NA,0,319.1603739104253,292.6089282144843,351.0112704007665,27,NA
Purcells Central,2009,0,NA,NA,0,0,0,0,28,NA
Purcells Central,2007,0,NA,NA,0,0,0,0,28,NA
Purcells Central,2006,0,NA,NA,0,0,0,0,28,NA
Purcells Central,2005,1,0.99,0.07335189537830897,1,1.0101010101010102,0.94042245501827,1.0909311817239933,28,NA
Purcells Central,2004,6,0.99,0.07335189537830897,1,6.0606060606060606,5.64253473010962,6.54558709034396,28,NA
