herd,year,events,trials,dist.hum_scale,dist.nat_scale,dist.all_scale,dist.hum.es_scale,dist.cuts_scale,grow.seas.length_scale,snow.depth_scale,cooler.winter_scale,warm.dry.summer_scale,start.spring_scale,rain.on.snow_scale,greenness_scale,season.num,type.otc,type.osc,type.mnka
21,44,1,5,-0.7445067533052838,-0.5740336730502816,-0.9494411435867398,-0.7347836032356344,-0.655740763112501,-0.9917378883953704,-0.5775443196203704,-0.1251726579911334,-3.468592859339241,1.4567084633490863,-0.9453553251422426,-2.0284526028523406,5,1,0,0
21,45,0,5,-0.7445067533052838,-0.5740336730502816,-0.9494411435867398,-0.7347836032356344,-0.655740763112501,-0.7713153767127574,-0.1685626830268404,0.43151553957008965,-0.3947497259288579,-0.6109566954425191,-0.6453393883870037,-1.7256211455276376,5,1,0,0
21,46,0,2,-0.7445067533052838,-0.5725239399113287,-0.9489397068534248,-0.7347836032356344,-0.655740763112501,-0.8458691992157443,-0.5523986523830361,-0.5302557192820347,-0.18242536737474466,0.1167510843515284,0.3379890623077051,-1.7791831719932325,5,1,0,0
21,47,1,2,-0.7445067533052838,-0.5717690733418415,-0.9486889884867638,-0.7347836032356344,-0.655740763112501,-0.6092519084013742,-0.948928095813985,-0.5262014592476728,-0.6563415381597877,1.001772997274256,-0.7184618469957461,-2.3533563238304476,5,1,0,0
21,48,1,2,-0.7445067533052838,-0.5717690733418415,-0.9486889884867638,-0.7347836032356344,-0.655740763112501,-0.3558036149893562,0.17174830786974696,0.8594287427696947,-1.0456571266819454,0.9537756521515129,-0.5482403305831537,NA,5,1,0,0
22,25,3,7,1.0182751475170915,-0.24686770534713723,0.9558085919799899,0.983789111291913,1.0555563826404255,1.5291123529113522,0.07340919024078471,-1.4164841205389778,-1.1966304339292066,-2.6403986752059962,0.3957357767737061,-0.1951736627489443,9,1,0,0
22,33,0,4,1.7342006107319783,-0.33064530653922725,1.65763754367191,1.7114824293198951,1.7801690147379319,1.3935456905201282,0.20845025661988728,-1.209333481606598,-0.3642256050839642,-1.0751903916935561,0.6083173634632647,0.1773542129825082,9,1,0,0
22,35,1,6,1.8506390010897884,-0.3306453065423825,1.7763088313449937,1.8287366839642745,1.8969268740965193,1.837625666692403,-0.3527818695458847,-1.3235638986667917,1.5769720303783141,-0.6365414577767085,0.12167373211078332,0.4515696296647979,9,1,0,0
22,37,1,6,1.9957676257334678,-0.3324202557194545,1.9236310111255066,1.9753045022700262,2.04287419829503,1.914012102226252,-0.22469269257725985,-1.5537528870601054,-0.7144037454024423,-1.5543457730439965,0.785408970868909,0.30051744416850257,9,1,0,0
22,39,1,4,2.096067759303488,-0.3230130250762142,2.0289790444439024,2.0808217679147676,2.147944757136725,1.7102483606695962,0.33212091463512866,-1.046525093319196,0.09807894243051357,-0.8868051128640755,0.3088458493211682,0.3896374545902464,9,1,0,0
23,5,3,14,-0.6846433063476763,0.46684518732203856,-0.5427163704206257,-0.6937078488551248,-0.6148389027275369,0.5073425805509825,1.6695394983813392,-0.8586633729917461,1.3860087693719805,-0.10230189282577117,NA,NA,9,0,1,0
23,6,3,11,-0.6600313951848427,0.363512366785752,-0.5519530356440497,-0.6689291775639712,-0.5901651318142368,0.6276669469253373,1.232807341719576,-0.13137163001093552,0.5231103731771143,0.7298276835772229,NA,NA,9,0,1,0
23,7,4,7,-0.6144949169509368,0.35737783258667494,-0.5075808203543889,-0.6234128010883072,-0.5448414486849881,-0.0516284725440131,1.8776844102929817,-0.8099152403435492,-0.7210775850161575,0.43614754780456094,NA,NA,9,0,1,0
23,25,16,132,0.34608043171236497,-0.18368808391723698,0.29170766587342467,0.28074226371282607,0.35548588028554884,1.2016634545096825,0.4440078094638144,-1.2900139357632427,-1.4201419744208361,-2.226516491487182,1.0455202435198805,-0.47390390041963754,9,1,0,0
