herd,year,age,sex,mu,tau
38,16,2,1,0.8571428571428571,57.166666666666686
38,17,2,1,0.8333333333333334,43.2
39,1,2,1,1,138.40830449826987
39,2,2,1,0.9130434782608696,138.40830449826987
39,3,2,1,0.8636363636363635,138.40830449826987
39,4,2,1,1,138.40830449826987
39,12,2,1,0.8,31.25
39,13,2,1,0.9545454545454546,138.40830449826987
39,14,2,1,0.8499999999999999,138.40830449826987
39,15,2,1,1,138.40830449826987
39,16,2,1,0.8156862745098039,107.8730027584053
39,17,2,1,0.7692307692307693,73.23333333333329
39,18,2,1,0.8181818181818181,73.94444444444447
39,19,2,1,0.7999999999999999,62.500000000000014
39,20,2,1,0.6136363636363635,42.92466616276141
39,21,2,1,0.8333333333333334,43.2
39,22,2,1,1,58.20909898436454
39,23,2,1,1,60.06441915396175
39,24,2,1,1,12.345679012345787
40,7,2,1,1,77.01657152424933
40,8,2,1,1,138.40830449826987
40,9,2,1,1,138.40830449826987
40,10,2,1,1,129.83794826847102
40,11,2,1,1,138.40830449826987
40,12,2,1,0.7859649122807018,110.64701074487606
40,13,2,1,0.9285714285714286,138.40830449826987
40,14,2,1,0.9166666666666666,138.40830449826987
40,15,2,1,0.8317580340264651,138.40830449826987
40,16,2,1,0.95,138.40830449826987
40,17,2,1,0.8673913043478261,138.40830449826987
40,18,2,1,0.9473684210526316,138.40830449826987
40,19,2,1,1,138.40830449826987
40,20,2,1,0.7058823529411765,81.8833333333333
40,21,2,1,0.75,64
40,22,2,1,0.8888888888888888,91.125
40,23,2,1,0.9285714285714286,138.40830449826987
40,24,2,1,0.96,138.40830449826987
40,25,2,1,0.9130434782608696,138.40830449826987
40,26,2,1,1,138.40830449826987
40,27,2,1,1,71.39698492462253
40,28,2,1,1,74.14838258505824
40,31,2,1,0.9666666666666668,138.40830449826987
40,32,2,1,0.8680555555555556,138.40830449826987
40,33,2,1,0.7428571428571428,138.40830449826987
40,34,2,1,0.8421052631578947,138.40830449826987
40,35,2,1,1,138.40830449826987
