herd,year,est,sd,season_int,herd_num,trt
Narrow Lake,2016,0.19230769230769232,0.07078487258360254,1,26,NA
Narrow Lake,2014,0.05405405405405406,0.03620887173281533,1,26,NA
Narrow Lake,2012,0.05882352941176471,0.0392156862745098,1,26,NA
Narrow Lake,2010,0,0,1,26,NA
Narrow Lake,2009,0,0,1,26,NA
Narrow Lake,2008,0.17647058823529413,0.06027618097623293,1,26,NA
Narrow Lake,2007,0.09090909090909093,0.041494133144330765,1,26,NA
Narrow Lake,2006,0.1,0.05222329678670935,1,26,NA
Narrow Lake,2005,0.05555555555555555,0.05255029460705096,1,26,NA
Narrow Lake,2002,0.12962962962962962,0.043007012152559546,1,26,NA
Narrow Lake,1999,0.11666666666666668,0.039219161391240535,1,26,NA
North Cariboo,2020,0.17030812324929973,0.03539345748959854,1,27,NA
North Cariboo,2018,0.15126050420168066,0.030611858308938478,1,27,NA
North Cariboo,2016,0.1792452830188679,0.03430643222888138,1,27,NA
North Cariboo,2014,0.06140350877192982,0.021824453243068597,1,27,NA
North Cariboo,2011,0.10135135135135136,0.02363828325316993,1,27,NA
North Cariboo,2010,0.16666666666666666,0.0424705992864688,1,27,NA
North Cariboo,2006,0.21511627906976744,0.02842275400467493,1,27,NA
North Cariboo,2005,0.2011173184357542,0.02733675800013564,1,27,NA
North Cariboo,2002,0.102803738317757,0.01976934042366253,1,27,NA
North Cariboo,1999,0.11206896551724138,0.01963913910603292,1,27,NA
North Cariboo,1993,0.17692307692307693,0.030850821937456595,1,27,NA
North Cariboo,1989,0.25196850393700787,0.03442980069436648,1,27,NA
Purcells Central,2004,0.18285714285714288,0.16329931618554522,1,28,NA
Purcells Central,2003,0.2,0.16329931618554522,1,28,NA
Purcells Central,1997,0.07032967032967034,0.07121693075173473,1,28,NA
Purcells Central,1996,0.08333333333333333,0.07665551758398331,1,28,NA
Purcells Central,1994,0.15384615384615383,0.09315847243376896,1,28,NA
Purcells South,2012,0.4,0.13093073414159542,1,29,NA
Purcells South,2011,0.07142857142857142,0.06649638116080449,1,29,NA
Purcells South,2010,0.07142857142857142,0.06649638116080449,1,29,NA
Purcells South,2009,0.07692307692307693,0.07121693075173473,1,29,NA
Purcells South,2007,0.07142857142857142,0.06649638116080449,1,29,NA
Purcells South,2006,0.14285714285714285,0.08748177652797065,1,29,NA
Purcells South,2005,0.1111111111111111,0.09938079899999064,1,29,NA
Purcells South,2004,0.1,0.09045340337332908,1,29,NA
Purcells South,2003,0.125,0.1102396379610246,1,29,NA
Purcells South,2002,0.18181818181818185,0.1069724373481004,1,29,NA
Purcells South,2000,0.08333333333333333,0.07665551758398331,1,29,NA
Purcells South,1998,0,0,1,29,NA
Purcells South,1997,0.12,0.06141195788629908,1,29,NA
Purcells South,1996,0.02031746031746032,0.02173376208541448,1,29,NA
Purcells South,1995,0.016129032258064516,0.01587095109045455,1,29,NA
Purcells South,1994,0.05882352941176471,0.03201947376187161,1,29,NA
Quintette,2002,0.20948157533523384,0.03498720814698309,1,30,NA
Quintette,2003,0.2401154401154401,0.059514138969954326,1,30,NA
Quintette,2004,0.13653333333333334,0.04042460487433945,1,30,NA
Quintette,2005,0.12089728453364816,0.04441820030608021,1,30,NA
Quintette,2006,0.13018306994210607,0.03709428353797423,1,30,NA
Quintette,2007,0.11744776962168264,0.03399403716781759,1,30,NA
Quintette,2008,0.16171039844509233,0.029009415124561264,1,30,NA
Quintette,2009,0.11334120425029516,0.03962635403218794,1,30,NA
Quintette,2010,0.21333333333333332,0.04962697841543963,1,30,NA
Quintette,2011,0.16056670602125145,0.03852798652628219,1,30,NA
Quintette,2012,0.06476640242874009,0.02942219220092608,1,30,NA
Quintette,2013,0.07836734693877552,0.026218941013778488,1,30,NA
Quintette,2014,0.2701298701298701,0.06433623351888286,1,30,NA
Quintette,2015,0.1312371838687628,0.044884361338023246,1,30,NA
Rainbows,2017,0.06666666666666667,0.044095855184409845,2,31,NA
Rainbows,2009,0.15789473684210523,0.05497189135443089,2,31,NA
Rainbows,2008,0.25,0.19364916731037085,2,31,NA
Rainbows,2003,0.09499072356215212,0.05094604732809879,1,31,NA
Rainbows,2002,0.06081723154893886,0.03925927097477999,1,31,NA
Rainbows,2001,0.16623376623376623,0.04147806778921702,1,31,NA
Rainbows,2000,0.12787212787212787,0.022594248339154157,1,31,NA
Rainbows,1999,0.09664753850800362,0.019729059449146467,1,31,NA
Rainbows,1998,0.06044864226682408,0.015982710418027863,1,31,NA
Rainbows,1997,0.0240918501788067,0.009885691753469143,1,31,NA
Rainbows,1996,0.10389610389610388,0.018575024784406747,1,31,NA
Rainbows,1988,0.10207336523125995,0.02697915286093182,1,31,NA
Rainbows,1989,0.4482758620689655,0.04087923988715994,3,31,NA
Rainbows,1987,0.1922853266136848,0.02430588356397964,1,31,NA
Rainbows,1986,0.4155844155844156,0.03143473067309657,1,31,NA
Redrock/Prairie Creek,2015,0.16447467876039304,0.036219224344389546,1,32,NA
Redrock/Prairie Creek,2014,0.1090627420604183,0.036100249611021006,1,32,NA
Redrock/Prairie Creek,2013,0.12392807745504844,0.034887557012049465,1,32,NA
Redrock/Prairie Creek,2012,0.11930758988015978,0.03306500356330541,1,32,NA
Redrock/Prairie Creek,2011,0.11368861024033436,0.03022290847955256,1,32,NA
Redrock/Prairie Creek,2010,0.12636469221835078,0.030892474195285798,1,32,NA
Redrock/Prairie Creek,2009,0.12702860478692354,0.0359110043514518,1,32,NA
Redrock/Prairie Creek,2008,0.14502087060226596,0.03053697586416088,1,32,NA
Redrock/Prairie Creek,2007,0.0924187725631769,0.03557487426988602,1,32,NA
Redrock/Prairie Creek,2006,0.04263114071606994,0.021954780176963597,1,32,NA
Redrock/Prairie Creek,2005,0.11704768125408228,0.03395233700852177,1,32,NA
Redrock/Prairie Creek,2004,0.1490104772991851,0.0458076664934532,1,32,NA
