i,j,lambda,lambda.lower,lambda.upper,R,R.lower,R.upper,S,S.lower,S.upper,totAdults,totAdults.lower,totAdults.upper,totN,totN.lower,totN.upper,totNMF,totNMF.lower,totNMF.upper,.width,.point,.interval,yrs,herd,trt
41,11,0.9856616527805968,0.6119716959949026,1.5325422899325643,0.13573986529780363,0.06305411497367379,0.2828320551981334,0.8856712545603505,0.7604163221450512,0.9560225932693769,158,79,274,177,89.94999999999999,309,284.4145971028613,137.62680592700116,552.0847204877352,0.9,median,qi,1983,Quintette Full,Reference
41,12,0.9838111318826395,0.6493123158033194,1.544703696071271,0.14325182392441924,0.06692268900746763,0.2876261246849752,0.88492650799416706,0.7588644305329495,0.9531127791379348,154,79,270,173,89.94999999999999,304.04999999999995,277.4037282709196,142.60665528594444,539.8490730579355,0.9,median,qi,1984,Quintette Full,Reference
41,13,0.974298681881093,0.6377245657339873,1.5512983109284848,0.14260248776053572,0.06417194056866225,0.2812895557711574,0.8877274283542825,0.7455461344738494,0.9522132154397542,150.5,77.94999999999999,261.04999999999995,168,88,293.04999999999995,275.1348962946133,131.958019675773,498.7519541364244,0.9,median,qi,1985,Quintette Full,Reference
41,14,0.9877809045302468,0.6210672646308846,1.5365777340122193,0.14270708093434725,0.06203769561922664,0.2712597019096679,0.8917360541436526,0.7775517702494018,0.9551738011290599,146.5,76.94999999999999,256.04999999999995,166,86,284,267.4315437088301,132.4656354455009,514.6945823503102,0.9,median,qi,1986,Quintette Full,Reference
41,15,0.9674391329854051,0.6373921523521566,1.582456941792964,0.13910916099346485,0.06269062430323603,0.2821491222220138,0.8903194463865232,0.7790193923379195,0.9543411108786274,144,77,249.04999999999995,163,87.94999999999999,283,259.42725764718375,134.65827392609566,514.077791530458,0.9,median,qi,1987,Quintette Full,Reference
41,16,0.9822162448476097,0.6168407824782913,1.5594717768607844,0.13094276011729222,0.05982471430721811,0.26067997142914867,0.9113700929645775,0.825865456444927,0.9596957457681491,142,80,248,160,87,275.04999999999995,256.3313784647008,130.9304607010412,490.1624982864096,0.9,median,qi,1988,Quintette Full,Reference
41,17,1.0242780719768074,0.6495648823410081,1.6297562192854869,0.14647961967138579,0.06600038402952635,0.305443363452149,0.9173378765912019,0.8299747517090419,0.9633331541411339,145,78,246.0999999999999,164,87,284.04999999999995,261.69487326904937,134.99393909870315,499.47175845709364,0.9,median,qi,1989,Quintette Full,Reference
41,18,1.0363552001487513,0.678845949620124,1.6502052629494461,0.15633908414371772,0.06825176543969952,0.3153931832641665,0.9157815048733218,0.8288751844791664,0.9623015625248388,146.5,80.94999999999999,256,166,92.94999999999999,289.1999999999998,270.9263868608994,140.2148150156473,510.4972314717878,0.9,median,qi,1990,Quintette Full,Reference
41,19,1.032796715082089,0.6596470468467471,1.5919508669543851,0.15484748055941278,0.07032302306921612,0.30599213595707947,0.9149105438456187,0.8290905537155505,0.9635673574558394,151,85.94999999999999,260.04999999999995,173,94.94999999999999,294,284.3526513114548,139.76984205487733,514.7738968854641,0.9,median,qi,1991,Quintette Full,Reference
41,20,1.0411475910971562,0.6826490428738767,1.6859538092567965,0.2011029809786456,0.13083238678962295,0.29316762995708995,0.9029083717758258,0.8094931203720108,0.9593550174273948,156,86.94999999999999,264.04999999999995,180.5,101,301.04999999999995,294.4774676631091,155.58732062836103,530.8195934700238,0.9,median,qi,1992,Quintette Full,Reference
